mass (g) Set,Date and Time Run #1,Time (s) Run #1,State Run #1,Block Event Times (s) Run #1,Period (s) Run #1,Block-to-Block Times (s) Run #1,Speed (m/s) Run #1,Time in Gate (s) Run #1,Date and Time Run #2,Time (s) Run #2,State Run #2,Block Event Times (s) Run #2,Period (s) Run #2,Block-to-Block Times (s) Run #2,Speed (m/s) Run #2,Time in Gate (s) Run #2,Date and Time Run #3,Time (s) Run #3,State Run #3,Block Event Times (s) Run #3,Period (s) Run #3,Block-to-Block Times (s) Run #3,Speed (m/s) Run #3,Time in Gate (s) Run #3,Date and Time Run #4,Time (s) Run #4,State Run #4,Block Event Times (s) Run #4,Period (s) Run #4,Block-to-Block Times (s) Run #4,Speed (m/s) Run #4,Time in Gate (s) Run #4
,09/23/2020 01:58:41 pm,10.559,1.00,10.56,,0.92,,,09/23/2020 02:03:44 pm,10.783,1.00,10.78,,0.94,,,09/23/2020 02:07:46 pm,6.774,1.00,6.77,,0.64,,,09/23/2020 02:09:29 pm,7.428,0.00,,,,0.12,0.14
,09/23/2020 01:58:41 pm,10.668,0.00,,,,0.15,0.11,09/23/2020 02:03:44 pm,10.842,0.00,,,,0.27,0.06,09/23/2020 02:07:46 pm,6.796,0.00,,,,0.75,0.02,09/23/2020 02:09:29 pm,7.768,1.00,7.77,1.27,0.47,,
,09/23/2020 01:58:42 pm,11.467,1.00,11.47,1.82,0.91,,,09/23/2020 02:03:45 pm,11.667,1.00,11.67,1.82,0.88,,,09/23/2020 02:07:47 pm,7.417,1.00,7.42,1.28,0.64,,,09/23/2020 02:09:29 pm,7.902,0.00,,,,0.12,0.13
,09/23/2020 01:58:42 pm,11.576,0.00,,,,0.15,0.11,09/23/2020 02:03:45 pm,11.727,0.00,,,,0.27,0.06,09/23/2020 02:07:47 pm,7.439,0.00,,,,0.75,0.02,09/23/2020 02:09:30 pm,8.568,1.00,8.57,,0.80,,
,09/23/2020 01:58:43 pm,12.384,1.00,12.38,,0.92,,,09/23/2020 02:03:46 pm,12.603,1.00,12.60,,0.94,,,09/23/2020 02:07:48 pm,8.056,1.00,8.06,,0.64,,,09/23/2020 02:09:30 pm,8.708,0.00,,,,0.11,0.14
,09/23/2020 01:58:43 pm,12.493,0.00,,,,0.15,0.11,09/23/2020 02:03:46 pm,12.663,0.00,,,,0.27,0.06,09/23/2020 02:07:48 pm,8.078,0.00,,,,0.74,0.02,09/23/2020 02:09:31 pm,9.035,1.00,9.03,1.27,0.47,,
,09/23/2020 01:58:44 pm,13.292,1.00,13.29,1.82,0.91,,,09/23/2020 02:03:47 pm,13.488,1.00,13.49,1.82,0.88,,,09/23/2020 02:07:48 pm,8.699,1.00,8.70,1.28,0.64,,,09/23/2020 02:09:31 pm,9.175,0.00,,,,0.11,0.14
,09/23/2020 01:58:44 pm,13.401,0.00,,,,0.15,0.11,09/23/2020 02:03:47 pm,13.549,0.00,,,,0.26,0.06,09/23/2020 02:07:48 pm,8.720,0.00,,,,0.74,0.02,09/23/2020 02:09:31 pm,9.852,1.00,9.85,,0.82,,
,09/23/2020 01:58:45 pm,14.210,1.00,14.21,,0.92,,,09/23/2020 02:03:48 pm,14.425,1.00,14.43,,0.94,,,09/23/2020 02:07:49 pm,9.337,1.00,9.34,,0.64,,,09/23/2020 02:09:31 pm,9.994,0.00,,,,0.11,0.14
,09/23/2020 01:58:45 pm,14.321,0.00,,,,0.14,0.11,09/23/2020 02:03:48 pm,14.485,0.00,,,,0.27,0.06,09/23/2020 02:07:49 pm,9.359,0.00,,,,0.74,0.02,09/23/2020 02:09:32 pm,10.307,1.00,10.31,1.27,0.46,,
,09/23/2020 01:58:46 pm,15.116,1.00,15.12,1.82,0.91,,,09/23/2020 02:03:49 pm,15.309,1.00,15.31,1.82,0.88,,,09/23/2020 02:07:49 pm,9.980,1.00,9.98,1.28,0.64,,,09/23/2020 02:09:32 pm,10.450,0.00,,,,0.11,0.14
,09/23/2020 01:58:46 pm,15.222,0.00,,,,0.15,0.11,09/23/2020 02:03:49 pm,15.370,0.00,,,,0.26,0.06,09/23/2020 02:07:50 pm,10.002,0.00,,,,0.73,0.02,09/23/2020 02:09:33 pm,11.128,1.00,11.13,,0.82,,
,09/23/2020 01:58:47 pm,16.034,1.00,16.03,,0.92,,,09/23/2020 02:03:50 pm,16.246,1.00,16.25,,0.94,,,09/23/2020 02:07:50 pm,10.619,1.00,10.62,,0.64,,,09/23/2020 02:09:33 pm,11.271,0.00,,,,0.11,0.14
,09/23/2020 01:58:47 pm,16.144,0.00,,,,0.15,0.11,09/23/2020 02:03:50 pm,16.307,0.00,,,,0.26,0.06,09/23/2020 02:07:50 pm,10.641,0.00,,,,0.73,0.02,09/23/2020 02:09:33 pm,11.584,1.00,11.58,1.28,0.46,,
,09/23/2020 01:58:47 pm,16.940,1.00,16.94,1.82,0.91,,,09/23/2020 02:03:51 pm,17.129,1.00,17.13,1.82,0.88,,,09/23/2020 02:07:51 pm,11.261,1.00,11.26,1.28,0.64,,,09/23/2020 02:09:33 pm,11.727,0.00,,,,0.11,0.14
,09/23/2020 01:58:48 pm,17.050,0.00,,,,0.15,0.11,09/23/2020 02:03:51 pm,17.192,0.00,,,,0.26,0.06,09/23/2020 02:07:51 pm,11.284,0.00,,,,0.72,0.02,09/23/2020 02:09:34 pm,12.387,1.00,12.39,,0.80,,
,09/23/2020 01:58:48 pm,17.859,1.00,17.86,,0.92,,,09/23/2020 02:03:52 pm,18.067,1.00,18.07,,0.94,,,09/23/2020 02:07:51 pm,11.900,1.00,11.90,,0.64,,,09/23/2020 02:09:34 pm,12.515,0.00,,,,0.12,0.13
,09/23/2020 01:58:48 pm,17.969,0.00,,,,0.14,0.11,09/23/2020 02:03:52 pm,18.131,0.00,,,,0.25,0.06,09/23/2020 02:07:51 pm,11.923,0.00,,,,0.71,0.02,09/23/2020 02:09:34 pm,12.888,1.00,12.89,1.30,0.50,,
,09/23/2020 01:58:49 pm,18.764,1.00,18.76,1.82,0.90,,,,,,,,,,,09/23/2020 02:07:52 pm,12.543,1.00,12.54,1.28,0.64,,,09/23/2020 02:09:35 pm,13.020,0.00,,,,0.12,0.13
,09/23/2020 01:58:49 pm,18.874,0.00,,,,0.14,0.11,,,,,,,,,09/23/2020 02:07:52 pm,12.565,0.00,,,,0.72,0.02,09/23/2020 02:09:35 pm,13.658,1.00,13.66,,0.77,,
,09/23/2020 01:58:50 pm,19.684,1.00,19.68,,0.92,,,,,,,,,,,09/23/2020 02:07:53 pm,13.181,1.00,13.18,,0.64,,,09/23/2020 02:09:35 pm,13.794,0.00,,,,0.12,0.14
,09/23/2020 01:58:50 pm,19.795,0.00,,,,0.14,0.11,,,,,,,,,09/23/2020 02:07:53 pm,13.205,0.00,,,,0.67,0.02,09/23/2020 02:09:36 pm,14.166,1.00,14.17,1.28,0.51,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:53 pm,13.824,1.00,13.82,1.28,0.64,,,09/23/2020 02:09:36 pm,14.302,0.00,,,,0.12,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:53 pm,13.847,0.00,,,,0.71,0.02,09/23/2020 02:09:36 pm,14.933,1.00,14.93,,0.77,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:54 pm,14.463,1.00,14.46,,0.64,,,09/23/2020 02:09:37 pm,15.070,0.00,,,,0.12,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:54 pm,14.485,0.00,,,,0.71,0.02,09/23/2020 02:09:37 pm,15.442,1.00,15.44,1.28,0.51,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:55 pm,15.105,1.00,15.11,1.28,0.64,,,09/23/2020 02:09:37 pm,15.580,0.00,,,,0.12,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:55 pm,15.128,0.00,,,,0.70,0.02,09/23/2020 02:09:38 pm,16.208,1.00,16.21,,0.77,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:55 pm,15.744,1.00,15.74,,0.64,,,09/23/2020 02:09:38 pm,16.347,0.00,,,,0.12,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:55 pm,15.767,0.00,,,,0.71,0.02,09/23/2020 02:09:38 pm,16.718,1.00,16.72,1.28,0.51,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:56 pm,16.386,1.00,16.39,1.28,0.64,,,09/23/2020 02:09:38 pm,16.857,0.00,,,,0.12,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:56 pm,16.409,0.00,,,,0.70,0.02,09/23/2020 02:09:39 pm,17.484,1.00,17.48,,0.77,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:57 pm,17.025,1.00,17.03,,0.64,,,09/23/2020 02:09:39 pm,17.624,0.00,,,,0.11,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:57 pm,17.048,0.00,,,,0.70,0.02,09/23/2020 02:09:39 pm,17.993,1.00,17.99,1.27,0.51,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:57 pm,17.667,1.00,17.67,1.28,0.64,,,09/23/2020 02:09:40 pm,18.133,0.00,,,,0.11,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:57 pm,17.691,0.00,,,,0.69,0.02,09/23/2020 02:09:40 pm,18.760,1.00,18.76,,0.77,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:58 pm,18.306,1.00,18.31,,0.64,,,09/23/2020 02:09:40 pm,18.901,0.00,,,,0.11,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:58 pm,18.329,0.00,,,,0.69,0.02,09/23/2020 02:09:41 pm,19.268,1.00,19.27,1.27,0.51,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:58 pm,18.948,1.00,18.95,1.28,0.64,,,09/23/2020 02:09:41 pm,19.409,0.00,,,,0.11,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:58 pm,18.972,0.00,,,,0.69,0.02,09/23/2020 02:09:42 pm,20.036,1.00,20.04,,0.77,,
,,,,,,,,,,,,,,,,,09/23/2020 02:07:59 pm,19.587,1.00,19.59,,0.64,,,09/23/2020 02:09:42 pm,20.179,0.00,,,,0.11,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:07:59 pm,19.610,0.00,,,,0.69,0.02,09/23/2020 02:09:42 pm,20.543,1.00,20.54,1.27,0.51,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:00 pm,20.229,1.00,20.23,1.28,0.64,,,09/23/2020 02:09:42 pm,20.685,0.00,,,,0.11,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:08:00 pm,20.253,0.00,,,,0.68,0.02,09/23/2020 02:09:43 pm,21.312,1.00,21.31,,0.77,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:00 pm,20.868,1.00,20.87,,0.64,,,09/23/2020 02:09:43 pm,21.456,0.00,,,,0.11,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:08:00 pm,20.891,0.00,,,,0.69,0.02,09/23/2020 02:09:43 pm,21.817,1.00,21.82,1.27,0.51,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:01 pm,21.510,1.00,21.51,1.28,0.64,,,09/23/2020 02:09:43 pm,21.961,0.00,,,,0.11,0.14
,,,,,,,,,,,,,,,,,09/23/2020 02:08:01 pm,21.534,0.00,,,,0.67,0.02,09/23/2020 02:09:44 pm,22.588,1.00,22.59,,0.77,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:02 pm,22.148,1.00,22.15,,0.64,,,09/23/2020 02:09:44 pm,22.733,0.00,,,,0.11,0.15
,,,,,,,,,,,,,,,,,09/23/2020 02:08:02 pm,22.172,0.00,,,,0.67,0.02,09/23/2020 02:09:45 pm,23.092,1.00,23.09,1.27,0.50,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:02 pm,22.791,1.00,22.79,1.28,0.64,,,09/23/2020 02:09:45 pm,23.238,0.00,,,,0.11,0.15
,,,,,,,,,,,,,,,,,09/23/2020 02:08:02 pm,22.815,0.00,,,,0.67,0.02,09/23/2020 02:09:45 pm,23.864,1.00,23.86,,0.77,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:03 pm,23.429,1.00,23.43,,0.64,,,09/23/2020 02:09:46 pm,24.010,0.00,,,,0.11,0.15
,,,,,,,,,,,,,,,,,09/23/2020 02:08:03 pm,23.453,0.00,,,,0.67,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:04 pm,24.072,1.00,24.07,1.28,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:04 pm,24.096,0.00,,,,0.66,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:04 pm,24.710,1.00,24.71,,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:04 pm,24.734,0.00,,,,0.66,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:05 pm,25.352,1.00,25.35,1.28,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:05 pm,25.377,0.00,,,,0.65,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:05 pm,25.991,1.00,25.99,,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:06 pm,26.015,0.00,,,,0.66,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:06 pm,26.633,1.00,26.63,1.28,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:06 pm,26.658,0.00,,,,0.64,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:07 pm,27.271,1.00,27.27,,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:07 pm,27.296,0.00,,,,0.65,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:07 pm,27.913,1.00,27.91,1.28,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:07 pm,27.938,0.00,,,,0.64,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:08 pm,28.552,1.00,28.55,,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:08 pm,28.577,0.00,,,,0.65,0.02,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:09 pm,29.194,1.00,29.19,1.28,0.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,09/23/2020 02:08:09 pm,29.219,0.00,,,,0.64,0.03,,,,,,,,
